"","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","TotalDiff","Churn","tenure1","MonthlyCharges1"
"16","Female",0,"Yes","Yes",69,"Yes","Yes","FO","Yes","Yes","Yes","Yes","Yes","Yes","2yr","No","CC",113.25,7895.15,-80.9,"No","60-72","$96-$120"
"17","Female",0,"No","No",52,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","1yr","No","MC",20.65,1022.95,50.85,"No","48-60","$0-$24"
"18","Male",0,"No","Yes",71,"Yes","Yes","FO","Yes","No","Yes","No","Yes","Yes","2yr","No","BT",106.7,7382.25,193.45,"No","60-72","$96-$120"
"19","Female",0,"Yes","Yes",10,"Yes","No","DSL","No","No","Yes","Yes","No","No","M-T-M","No","CC",55.2,528.35,23.65,"Yes","0-12","$48-$72"
"20","Female",0,"No","No",21,"Yes","No","FO","No","Yes","Yes","No","No","Yes","M-T-M","Yes","EC",90.05,1862.9,28.15,"No","12-24","$72-$96"
"21","Male",1,"No","No",1,"No","Nps","DSL","No","No","Yes","No","No","Yes","M-T-M","Yes","EC",39.65,39.65,0,"Yes","0-12","$24-$48"
"22","Male",0,"Yes","No",12,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","1yr","No","BT",19.8,202.25,35.35,"No","0-12","$0-$24"
"23","Male",0,"No","No",1,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","No","MC",20.15,20.15,0,"Yes","0-12","$0-$24"
"24","Female",0,"Yes","No",58,"Yes","Yes","DSL","No","Yes","No","Yes","No","No","2yr","Yes","CC",59.9,3505.1,-30.9,"No","48-60","$48-$72"
"25","Male",0,"Yes","Yes",49,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","M-T-M","No","CC",59.6,2970.3,-49.9,"No","48-60","$48-$72"
"26","Female",0,"No","No",30,"Yes","No","DSL","Yes","Yes","No","No","No","No","M-T-M","Yes","BT",55.3,1530.6,128.4,"No","24-36","$48-$72"
"27","Male",0,"Yes","Yes",47,"Yes","Yes","FO","No","Yes","No","No","Yes","Yes","M-T-M","Yes","EC",99.35,4749.15,-79.7,"Yes","36-48","$96-$120"
"28","Male",0,"Yes","Yes",1,"No","Nps","DSL","No","Yes","No","No","No","No","M-T-M","No","EC",30.2,30.2,0,"Yes","0-12","$24-$48"
"29","Male",0,"Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","2yr","Yes","CC",90.25,6369.45,128.55,"No","60-72","$72-$96"
"30","Female",0,"No","Yes",17,"Yes","No","DSL","No","No","No","No","Yes","Yes","M-T-M","Yes","MC",64.7,1093.1,6.8,"Yes","12-24","$48-$72"
"31","Female",1,"Yes","No",71,"Yes","Yes","FO","Yes","Yes","Yes","Yes","No","No","2yr","Yes","CC",96.35,6766.95,73.9,"No","60-72","$96-$120"
"32","Male",1,"Yes","No",2,"Yes","No","FO","No","No","Yes","No","Yes","Yes","M-T-M","Yes","CC",95.5,181.65,9.35,"No","0-12","$72-$96"
"33","Female",0,"Yes","Yes",27,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","1yr","No","MC",66.15,1874.45,-88.4,"No","24-36","$48-$72"
"34","Male",0,"No","No",1,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","No","BT",20.2,20.2,0,"No","0-12","$0-$24"
"35","Male",1,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","M-T-M","No","BT",45.25,45.25,0,"No","0-12","$24-$48"
"36","Female",0,"Yes","Yes",72,"Yes","Yes","FO","Yes","Yes","No","Yes","Yes","No","2yr","No","BT",99.9,7251.7,-58.9,"No","60-72","$96-$120"
"37","Male",0,"No","No",5,"Yes","No","FO","No","No","No","No","No","No","M-T-M","Yes","EC",69.7,316.9,31.6,"Yes","0-12","$48-$72"
"38","Female",0,"No","No",46,"Yes","No","FO","No","No","Yes","No","No","No","M-T-M","Yes","CC",74.8,3548.3,-107.5,"No","36-48","$72-$96"
"39","Male",0,"No","No",34,"Yes","Yes","FO","No","Yes","Yes","No","Yes","Yes","M-T-M","Yes","EC",106.35,3549.25,66.65,"Yes","24-36","$96-$120"
"40","Female",0,"No","No",11,"Yes","Yes","FO","No","No","Yes","No","Yes","Yes","M-T-M","Yes","BT",97.85,1105.4,-29.05,"Yes","0-12","$96-$120"
"41","Male",0,"Yes","Yes",10,"Yes","No","DSL","No","Yes","No","No","No","No","1yr","No","MC",49.55,475.7,19.8,"No","0-12","$48-$72"
"42","Female",0,"Yes","Yes",70,"Yes","Yes","DSL","Yes","Yes","No","No","Yes","No","2yr","Yes","CC",69.2,4872.35,-28.35,"No","60-72","$48-$72"
"43","Female",0,"Yes","Yes",17,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","1yr","No","MC",20.75,418.25,-65.5,"No","12-24","$0-$24"
"44","Female",0,"No","No",63,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","2yr","Yes","CC",79.85,4861.45,169.1,"No","60-72","$72-$96"
"45","Female",0,"Yes","No",13,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No","M-T-M","Yes","EC",76.2,981.45,9.15,"No","12-24","$72-$96"
"46","Female",0,"No","No",49,"Yes","Yes","FO","No","No","No","No","No","Yes","M-T-M","Yes","EC",84.5,3906.7,233.8,"No","48-60","$72-$96"
"47","Male",0,"No","No",2,"Yes","No","DSL","No","Yes","No","No","No","No","M-T-M","No","MC",49.25,97,1.5,"No","0-12","$48-$72"
"48","Female",0,"No","No",2,"Yes","No","FO","No","No","No","No","Yes","No","M-T-M","Yes","EC",80.65,144.15,17.15,"Yes","0-12","$72-$96"
"49","Male",0,"No","No",52,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","2yr","Yes","CC",79.75,4217.8,-70.8,"No","48-60","$72-$96"
"50","Female",0,"Yes","Yes",69,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","2yr","Yes","CC",64.15,4254.1,172.25,"No","60-72","$48-$72"
"51","Female",1,"No","No",43,"Yes","Yes","FO","No","Yes","No","No","Yes","No","M-T-M","Yes","EC",90.25,3838.75,42,"No","36-48","$72-$96"
"52","Female",0,"No","No",15,"Yes","No","FO","Yes","Yes","No","No","Yes","Yes","M-T-M","Yes","CC",99.1,1426.4,60.1,"Yes","12-24","$96-$120"
"53","Female",1,"Yes","No",25,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","No","M-T-M","Yes","CC",69.5,1752.65,-15.15,"No","24-36","$48-$72"
"54","Female",1,"Yes","No",8,"Yes","Yes","FO","No","Yes","No","No","No","No","M-T-M","Yes","CC",80.65,633.3,11.9,"Yes","0-12","$72-$96"
"55","Female",1,"Yes","Yes",60,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","1yr","Yes","CC",74.85,4456.35,34.65,"No","48-60","$72-$96"
"56","Male",1,"No","No",18,"Yes","Yes","FO","No","No","No","No","Yes","Yes","M-T-M","Yes","EC",95.45,1752.55,-34.45,"Yes","12-24","$72-$96"
"57","Female",0,"Yes","Yes",63,"Yes","Yes","FO","Yes","No","No","No","Yes","Yes","1yr","Yes","CC",99.65,6311.2,-33.25,"No","60-72","$96-$120"
"58","Male",1,"Yes","Yes",66,"Yes","Yes","FO","No","Yes","Yes","Yes","Yes","Yes","1yr","Yes","EC",108.45,7076.35,81.35,"No","60-72","$96-$120"
"59","Female",0,"Yes","Yes",34,"Yes","Yes","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","No","CC",24.95,894.3,-46,"No","24-36","$24-$48"
"60","Female",0,"No","No",72,"Yes","Yes","FO","No","No","Yes","Yes","Yes","Yes","2yr","Yes","CC",107.5,7853.7,-113.7,"No","60-72","$96-$120"
"61","Female",0,"Yes","No",47,"Yes","Yes","FO","No","No","Yes","No","Yes","Yes","M-T-M","Yes","EC",100.5,4707.1,16.4,"No","36-48","$96-$120"
"62","Male",0,"No","No",60,"Yes","Yes","FO","No","Yes","No","No","Yes","No","M-T-M","Yes","BT",89.9,5450.7,-56.7,"No","48-60","$72-$96"
"63","Male",0,"Yes","No",72,"No","Nps","DSL","Yes","Yes","Yes","No","No","No","2yr","No","BT",42.1,2962,69.2,"No","60-72","$24-$48"
"64","Female",0,"Yes","Yes",18,"Yes","No","DSL","No","No","Yes","Yes","No","No","1yr","Yes","CC",54.4,957.1,22.1,"No","12-24","$48-$72"
"65","Female",0,"No","No",9,"Yes","Yes","FO","No","No","No","No","Yes","Yes","M-T-M","No","EC",94.4,857.25,-7.65,"Yes","0-12","$72-$96"
"66","Female",0,"No","No",3,"Yes","No","DSL","No","Yes","No","Yes","Yes","Yes","M-T-M","Yes","EC",75.3,244.1,-18.2,"No","0-12","$72-$96"
"67","Male",0,"Yes","No",47,"Yes","Yes","FO","No","Yes","No","No","No","No","1yr","Yes","EC",78.9,3650.35,57.95,"No","36-48","$72-$96"
"68","Female",0,"No","No",31,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","2yr","No","MC",79.2,2497.2,-42,"No","24-36","$72-$96"
"69","Female",0,"Yes","Yes",50,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","No","BT",20.15,930.9,76.6,"No","48-60","$0-$24"
"70","Male",0,"No","No",10,"Yes","No","FO","Yes","No","Yes","No","No","No","M-T-M","Yes","MC",79.85,887.35,-88.85,"No","0-12","$72-$96"
"71","Male",0,"No","No",1,"Yes","No","DSL","No","No","No","Yes","No","No","M-T-M","No","MC",49.05,49.05,0,"No","0-12","$48-$72"
"72","Female",0,"Yes","Yes",52,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","1yr","Yes","EC",20.4,1090.65,-29.85,"No","48-60","$0-$24"
"73","Male",1,"Yes","Yes",64,"Yes","Yes","FO","Yes","No","Yes","Yes","Yes","Yes","2yr","Yes","BT",111.6,7099,43.4,"No","60-72","$96-$120"
"74","Male",0,"Yes","Yes",62,"Yes","Yes","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","Yes","BT",24.25,1424.6,78.9,"No","60-72","$24-$48"
"75","Female",0,"No","Yes",3,"Yes","No","DSL","Yes","No","No","Yes","No","Yes","M-T-M","Yes","BT",64.5,177.4,16.1,"No","0-12","$48-$72"
"76","Female",1,"No","No",56,"Yes","Yes","FO","Yes","Yes","Yes","No","Yes","Yes","1yr","No","EC",110.5,6139.5,48.5,"No","48-60","$96-$120"
"77","Female",0,"No","No",46,"Yes","No","DSL","No","No","No","No","No","Yes","1yr","No","CC",55.65,2688.85,-128.95,"No","36-48","$48-$72"
"78","Female",0,"Yes","Yes",8,"Yes","No","DSL","Yes","Yes","No","No","No","No","M-T-M","No","MC",54.65,482.25,-45.05,"No","0-12","$48-$72"
"79","Male",1,"No","No",30,"Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","M-T-M","Yes","EC",74.75,2111.3,131.2,"No","24-36","$72-$96"
"80","Female",0,"Yes","Yes",45,"Yes","Yes","No","Nis","Nis","Nis","Nis","Nis","Nis","1yr","Yes","CC",25.9,1216.6,-51.1,"No","36-48","$24-$48"
"81","Female",0,"No","Yes",1,"Yes","No","FO","No","No","No","No","Yes","No","M-T-M","Yes","EC",79.35,79.35,0,"Yes","0-12","$72-$96"
"82","Female",0,"Yes","Yes",11,"No","Nps","DSL","Yes","No","No","No","Yes","Yes","M-T-M","No","EC",50.55,565.35,-9.3,"No","0-12","$48-$72"
"83","Female",0,"Yes","No",7,"Yes","No","FO","No","No","Yes","No","No","No","M-T-M","Yes","BT",75.15,496.9,29.15,"Yes","0-12","$72-$96"
"84","Female",0,"No","No",42,"Yes","No","FO","No","Yes","Yes","Yes","Yes","Yes","M-T-M","Yes","BT",103.8,4327.5,32.1,"No","36-48","$96-$120"
"85","Female",0,"Yes","No",49,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","Yes","BT",20.15,973.35,14,"No","48-60","$0-$24"
"86","Male",0,"No","No",9,"Yes","Yes","FO","No","Yes","No","No","Yes","Yes","M-T-M","Yes","CC",99.3,918.75,-25.05,"No","0-12","$96-$120"
"87","Female",0,"Yes","No",35,"Yes","No","DSL","Yes","No","No","No","Yes","No","1yr","Yes","BT",62.15,2215.45,-40.2,"No","24-36","$48-$72"
"88","Female",0,"Yes","Yes",48,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","No","BT",20.65,1057,-65.8,"No","36-48","$0-$24"
"89","Female",0,"Yes","Yes",46,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","Yes","MC",19.95,927.1,-9.4,"No","36-48","$0-$24"
"90","Male",0,"Yes","No",29,"No","Nps","DSL","No","No","No","No","Yes","No","M-T-M","No","MC",33.75,1009.25,-30.5,"No","24-36","$24-$48"
"91","Male",0,"Yes","Yes",30,"Yes","No","FO","No","Yes","Yes","No","No","No","M-T-M","No","BT",82.05,2570.2,-108.7,"No","24-36","$72-$96"
"92","Male",1,"No","No",1,"Yes","No","FO","No","No","No","Yes","No","No","M-T-M","No","EC",74.7,74.7,0,"No","0-12","$72-$96"
"93","Male",0,"Yes","Yes",66,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","2yr","Yes","MC",84,5714.25,-170.25,"No","60-72","$72-$96"
"94","Female",0,"No","No",65,"Yes","Yes","FO","Yes","Yes","Yes","No","Yes","Yes","M-T-M","Yes","CC",111.05,7107,111.25,"No","60-72","$96-$120"
"95","Male",0,"No","No",72,"Yes","Yes","FO","No","Yes","Yes","No","Yes","Yes","2yr","Yes","BT",100.9,7459.05,-194.25,"No","60-72","$96-$120"
"96","Female",0,"No","No",12,"Yes","Yes","FO","Yes","No","No","No","No","No","M-T-M","Yes","EC",78.95,927.35,20.05,"Yes","0-12","$72-$96"
"97","Male",0,"Yes","Yes",71,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","1yr","Yes","CC",66.85,4748.7,-2.35,"No","60-72","$48-$72"
"98","Male",0,"No","No",5,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","No","MC",21.05,113.85,-8.6,"Yes","0-12","$0-$24"
"99","Male",0,"No","No",52,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","No","BT",21,1107.2,-15.2,"No","48-60","$0-$24"
"100","Female",1,"Yes","No",25,"Yes","No","FO","No","Yes","Yes","No","Yes","Yes","M-T-M","Yes","EC",98.5,2514.5,-52,"Yes","24-36","$96-$120"
"101","Male",0,"No","No",1,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","No","MC",20.2,20.2,0,"No","0-12","$0-$24"
"102","Female",0,"Yes","Yes",1,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","No","EC",19.45,19.45,0,"No","0-12","$0-$24"
"103","Male",0,"No","No",38,"Yes","Yes","FO","No","No","Yes","Yes","Yes","No","1yr","No","BT",95,3605.6,4.4,"No","36-48","$72-$96"
"104","Female",1,"Yes","No",66,"No","Nps","DSL","No","Yes","Yes","No","Yes","No","1yr","No","BT",45.55,3027.25,-20.95,"No","60-72","$24-$48"
"105","Male",0,"Yes","No",68,"Yes","Yes","FO","No","Yes","Yes","Yes","Yes","Yes","2yr","Yes","BT",110,7611.85,-131.85,"Yes","60-72","$96-$120"
"106","Male",0,"No","No",5,"No","Nps","DSL","No","No","No","No","No","No","M-T-M","No","MC",24.3,100.2,21.3,"No","0-12","$24-$48"
"107","Female",0,"Yes","Yes",72,"Yes","Yes","FO","Yes","Yes","No","No","Yes","Yes","1yr","Yes","EC",104.15,7303.05,195.75,"No","60-72","$96-$120"
"108","Female",0,"No","No",32,"No","Nps","DSL","Yes","No","No","No","No","No","1yr","No","MC",30.15,927.65,37.15,"No","24-36","$24-$48"
"109","Male",0,"No","No",43,"Yes","Yes","FO","No","No","No","No","Yes","Yes","1yr","No","MC",94.35,3921.3,135.75,"No","36-48","$72-$96"
"110","Male",0,"Yes","Yes",72,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","No","CC",19.4,1363.25,33.55,"No","60-72","$0-$24"
"111","Male",0,"Yes","No",55,"Yes","Yes","FO","Yes","Yes","No","No","Yes","No","M-T-M","Yes","EC",96.75,5238.9,82.35,"Yes","48-60","$96-$120"
"112","Female",0,"No","No",52,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","1yr","No","CC",57.95,3042.25,-28.85,"No","48-60","$48-$72"
"113","Female",0,"No","No",43,"Yes","No","FO","No","Yes","Yes","No","Yes","No","M-T-M","Yes","EC",91.65,3954.1,-13.15,"No","36-48","$72-$96"
"114","Female",1,"Yes","No",37,"Yes","Yes","FO","No","No","No","No","No","No","M-T-M","Yes","EC",76.5,2868.15,-37.65,"Yes","36-48","$72-$96"
"115","Female",0,"Yes","Yes",64,"No","Nps","DSL","No","Yes","No","Yes","Yes","Yes","2yr","Yes","EC",54.6,3423.5,70.9,"No","60-72","$48-$72"
"116","Male",0,"Yes","Yes",3,"Yes","No","FO","Yes","Yes","No","No","Yes","No","M-T-M","No","EC",89.85,248.4,21.15,"No","0-12","$72-$96"
"117","Female",0,"No","No",36,"No","Nps","DSL","Yes","No","No","No","No","No","2yr","No","BT",31.05,1126.35,-8.55,"No","24-36","$24-$48"
"118","Female",0,"Yes","Yes",10,"Yes","Yes","FO","Yes","No","No","No","Yes","Yes","M-T-M","Yes","EC",100.25,1064.65,-62.15,"Yes","0-12","$96-$120"
"119","Female",0,"No","No",41,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","No","MC",20.65,835.15,11.5,"No","36-48","$0-$24"
"120","Male",0,"Yes","Yes",27,"Yes","Yes","FO","No","Yes","No","Yes","No","No","M-T-M","Yes","CC",85.2,2151.6,148.8,"No","24-36","$72-$96"
"121","Female",0,"Yes","Yes",56,"Yes","Yes","FO","No","No","Yes","No","Yes","Yes","1yr","Yes","CC",99.8,5515.45,73.35,"No","48-60","$96-$120"
"122","Female",0,"No","No",6,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","No","MC",20.7,112.75,11.45,"No","0-12","$0-$24"
"123","Male",0,"No","No",3,"Yes","Yes","FO","No","No","No","No","No","No","M-T-M","Yes","EC",74.4,229.55,-6.35,"Yes","0-12","$72-$96"
"124","Female",0,"Yes","Yes",7,"Yes","No","DSL","Yes","No","No","No","No","No","M-T-M","No","MC",50.7,350.35,4.55,"No","0-12","$48-$72"
"125","Female",0,"Yes","Yes",4,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","No","MC",20.85,62.9,20.5,"No","0-12","$0-$24"
"126","Male",0,"No","No",33,"Yes","No","FO","Yes","No","No","Yes","Yes","No","2yr","Yes","EC",88.95,3027.65,-92.3,"No","24-36","$72-$96"
"127","Female",1,"No","No",27,"Yes","Yes","FO","No","No","Yes","No","No","No","M-T-M","Yes","EC",78.05,2135.5,-28.15,"Yes","24-36","$72-$96"
"128","Male",0,"Yes","No",72,"Yes","Yes","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","Yes","BT",23.55,1723.95,-28.35,"No","60-72","$0-$24"
"129","Male",0,"No","No",1,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","No","MC",19.75,19.75,0,"No","0-12","$0-$24"
"130","Male",1,"No","No",71,"No","Nps","DSL","Yes","Yes","No","No","Yes","Yes","1yr","Yes","EC",56.45,3985.35,22.6,"No","60-72","$48-$72"
"131","Female",0,"No","No",13,"Yes","Yes","FO","No","No","No","No","No","Yes","M-T-M","Yes","EC",85.95,1215.65,-98.3,"No","12-24","$72-$96"
"132","Female",0,"Yes","Yes",25,"No","Nps","DSL","Yes","Yes","Yes","No","Yes","Yes","M-T-M","Yes","CC",58.6,1502.65,-37.65,"Yes","24-36","$48-$72"
"133","Male",0,"No","No",67,"Yes","No","DSL","No","No","No","Yes","No","No","2yr","No","BT",50.55,3260.1,126.75,"No","60-72","$48-$72"
"134","Male",0,"No","No",1,"No","Nps","DSL","No","No","No","No","No","Yes","M-T-M","Yes","EC",35.45,35.45,0,"Yes","0-12","$24-$48"
"135","Male",0,"No","No",2,"Yes","No","DSL","No","No","No","No","No","No","M-T-M","No","EC",44.35,81.25,7.45,"Yes","0-12","$24-$48"
"136","Female",0,"No","No",43,"Yes","Yes","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","Yes","CC",25.7,1188.2,-83.1,"No","36-48","$24-$48"
"137","Female",0,"No","No",23,"Yes","No","FO","Yes","No","No","No","No","No","M-T-M","Yes","BT",75,1778.5,-53.5,"No","12-24","$72-$96"
"138","Female",0,"Yes","Yes",64,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","No","MC",20.2,1277.75,15.05,"No","60-72","$0-$24"
"139","Male",0,"No","Yes",57,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","Yes","MC",19.6,1170.55,-53.35,"No","48-60","$0-$24"
"140","Female",1,"Yes","No",1,"Yes","No","FO","No","No","No","No","No","No","M-T-M","Yes","MC",70.45,70.45,0,"Yes","0-12","$48-$72"
"141","Female",1,"Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","2yr","Yes","CC",88.05,6425.65,-86.05,"No","60-72","$72-$96"
"142","Female",0,"No","No",8,"Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","M-T-M","No","EC",71.15,563.65,5.55,"Yes","0-12","$48-$72"
"143","Female",0,"Yes","No",61,"Yes","Yes","FO","No","Yes","No","No","Yes","Yes","2yr","Yes","BT",101.05,5971.25,192.8,"No","60-72","$96-$120"
"144","Male",0,"No","No",64,"Yes","Yes","FO","Yes","Yes","No","No","No","No","1yr","Yes","CC",84.3,5289.05,106.15,"No","60-72","$72-$96"
"145","Male",1,"Yes","No",71,"Yes","Yes","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","No","BT",23.95,1756.2,-55.75,"No","60-72","$0-$24"
"146","Female",0,"Yes","Yes",65,"Yes","Yes","FO","Yes","Yes","No","Yes","Yes","No","2yr","Yes","CC",99.05,6416.7,21.55,"No","60-72","$96-$120"
"147","Male",0,"No","No",3,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","1yr","No","MC",19.6,61.35,-2.55,"No","0-12","$0-$24"
"148","Male",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","M-T-M","Yes","EC",45.65,45.65,0,"Yes","0-12","$24-$48"
"149","Male",0,"No","Yes",30,"Yes","No","DSL","No","Yes","Yes","No","Yes","No","1yr","No","CC",64.5,1929.95,5.05,"No","24-36","$48-$72"
"150","Male",0,"Yes","Yes",15,"Yes","No","DSL","No","Yes","Yes","Yes","No","Yes","M-T-M","Yes","MC",69.5,1071.4,-28.9,"No","12-24","$48-$72"
"151","Female",0,"Yes","Yes",8,"Yes","No","DSL","No","No","No","Yes","Yes","Yes","M-T-M","Yes","EC",68.55,564.35,-15.95,"No","0-12","$48-$72"
"152","Male",0,"No","No",7,"Yes","Yes","FO","No","No","No","No","Yes","Yes","M-T-M","No","MC",95,655.5,9.5,"Yes","0-12","$72-$96"
"153","Female",0,"Yes","Yes",70,"Yes","Yes","FO","Yes","Yes","Yes","No","Yes","Yes","1yr","Yes","CC",108.15,7930.55,-360.05,"No","60-72","$96-$120"
"154","Male",0,"Yes","Yes",62,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","2yr","No","EC",86.1,5215.25,122.95,"No","60-72","$72-$96"
"155","Female",0,"Yes","Yes",6,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","No","MC",19.7,113.5,4.7,"No","0-12","$0-$24"
"156","Female",0,"Yes","Yes",14,"Yes","No","FO","No","No","No","No","No","Yes","M-T-M","Yes","BT",80.9,1152.8,-20.2,"No","12-24","$72-$96"
"157","Female",0,"No","No",22,"Yes","Yes","FO","No","No","No","No","Yes","No","M-T-M","Yes","BT",84.15,1821.95,29.35,"No","12-24","$72-$96"
"158","Male",0,"Yes","Yes",22,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","1yr","No","MC",20.15,419.9,23.4,"No","12-24","$0-$24"
"159","Male",0,"Yes","Yes",16,"Yes","No","DSL","Yes","No","Yes","No","Yes","No","2yr","No","MC",64.25,1024,4,"No","12-24","$48-$72"
"160","Male",0,"No","No",10,"Yes","Yes","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","No","BT",25.7,251.6,5.4,"No","0-12","$24-$48"
"161","Female",0,"No","Yes",13,"Yes","No","DSL","Yes","Yes","No","No","No","No","M-T-M","Yes","EC",56,764.55,-36.55,"No","12-24","$48-$72"
